,별점,리뷰내용,작성자,작성일자,공감 횟수,비공감 횟수
40,10,이 영화 없었으면 오늘 앤드게임도 없었다~~로다주 당신덕분에 11년이 즐거웠어요 셜록홈즈에서 다시 봐요 우리 ㅎㅎ,황금복돼지(bong****),2019.04.25 02:01,37,0
41,10,재밌게 본영화. 아이언맨 토니스타크가 늙는다는게 아쉽다/.,리겔(saro****),2016.12.07 14:08,37,1
42,10,이 영화가 나온지 어언 10년... 레전드가 되버렸습니다.,엽기토끼(daeh****),2018.01.04 23:57,33,0
43,10,아이언맨 안보고 시빌워에 평점 낮게준 내가 한심하다. 어제 영화채널에서 아이언맨1 하길래 아 씨.. 셤공부 10분뒤에하고 함 봐볼까 했는데 2시간 재끼고 끝까지 다봄.. 그리고 지금 댓글 남기는중,14살청춘이다(jinw****),2016.10.04 20:12,34,2
44,7,지금의 MCU의 위치를 만들었다고 해도 과언이 아닐 영화 벌써 11년전 개봉한 영화임에도 불구하고 지금봐도 눈이즐겁다. 로다주와 기네스 팰트로의 싱크가 원작과 매우비슷하다. 로다주의 마지막 대사는 발군이였다. 다음시...,으나ㅋ(gydd****),2017.04.13 17:09,31,0
45,8,"next time, baby!  했는데 슬프게도 그 넥탐이 영원히 오지 않음 잘생긴 흑인오빠ㅠㅠ",공주(aqqq****),2016.03.21 22:31,31,1
46,10,아이언맨 3000만큼 사랑해,규원(mari****),2019.04.25 13:22,29,0
47,10,"1,2,3 다 영화관에서 봤지만 1이 가장 재밌다",carlvinson(spee****),2016.08.05 14:56,28,1
48,8,토니에겐 잉센같은 사람이 더 많이 필요해,윈쿡(jamd****),2016.05.28 20:03,28,1
49,10,엔드게임까지 이끈 대작,장진수(lloy****),2019.04.01 12:40,27,1
50,7,모든 것의 시작은 이 영화에서 시작되었다.,타임로드(dleh****),2016.11.23 01:54,28,2
51,10,시간이 지나고 봐도 전혀 어색함 없이 탄탄하고 화려하다,무파마(sohw****),2016.10.04 02:42,25,0
52,8,"당시에는 막연하게 재밌는 히어로 하나 새로 알게됐구나~가 전부였는데, 11년이 흐르는 동안 그 히어로는 여러 영화들을 거치면서 내,외적으로 거듭 발전했고 급기야 영화사에 한 획을 그었다. 그 시작은 다시 봐도 흥분된...",킹날두빛날두갓날두(htmd****),2019.05.09 00:33,26,1
53,10,어벤져스 엔드게임보고 다시 왔습니다3000만큼 사랑해,이륙 Eryuk(astr****),2019.04.25 01:35,26,1
54,7,슈퍼히어로물로써 키덜트적 판타지를 충족시키는 법을 안다.,nobody(this****),2014.08.10 01:19,24,0
55,10,마블을 먹여살리는 최고의 캐릭터 -끝-,spad****,2016.12.20 10:19,25,1
56,10,안 본 사람이 없고 모르는 사람이 없으며 재미없다는 사람을 못 봤다,kara****,2016.08.12 01:29,25,1
57,10,다시봐도 재미있다,Blin(weew****),2013.06.18 01:17,26,3
58,10,홈커밍 보고 아이언맨1부터 다 정주행중이다 . 와 정말재미있다 안본사람은 보세요 정말 후회안합니다,예은(wonr****),2017.11.04 04:34,22,0
